target,n,k,d,q,seconds,status,A_poly,B_poly
Z5xZ12,120,8,8,4.267,0.22,ok,x*y^5 + x^2*y^2 + x^4*y^9,y^10 + x^2*y^3 + x^3*y^9
Z5xZ12,120,8,10,6.667,0.46,ok,x*y + x^2*y^4 + x^4*y^6,x^2*y^9 + x^3*y^4 + x^4*y^6
Z5xZ12,120,8,6,2.4,0.03,ok,x*y + x^2*y^9 + x^4*y^5,y + y^3 + x^4*y^11
Z5xZ12,120,8,6,2.4,0.05,ok,x + x*y^2 + x^3*y^10,y^3 + x^2*y^5 + x^2*y^7
Z5xZ12,120,8,10,6.667,0.49,ok,x*y^7 + x^2*y^10 + x^4*y^9,y^2 + x^3*y^11 + x^4
Z5xZ12,120,8,8,4.267,0.21,ok,x*y^2 + x^3*y^10 + x^4*y^4,y^7 + x^2*y^3 + x^3
Z5xZ12,120,8,8,4.267,0.2,ok,y^10 + x*y^3 + x^2*y^7,x*y^3 + x^3*y^2 + x^4*y^2
Z5xZ12,120,8,8,4.267,0.17,ok,x*y^4 + x^3*y^9 + x^4*y^9,y^4 + x^2*y^2 + x^4*y^10
Z5xZ12,120,8,4,1.067,0.02,ok,y^11 + x*y^4 + x^4*y^10,x*y^4 + x*y^6 + x*y^8
Z5xZ12,120,8,4,1.067,0.02,ok,x*y^10 + x^2*y^9 + x^3*y,y^5 + x^2*y + x^3*y^7
Z5xZ12,120,8,8,4.267,0.21,ok,y^2 + x^3*y^8 + x^4*y,y^2 + x*y + x^2*y^11
Z5xZ12,120,8,8,4.267,0.22,ok,x^2*y^9 + x^3*y^4 + x^4,x^2*y^4 + x^3*y^8 + x^4*y^10
Z5xZ12,120,8,8,4.267,0.35,ok,x^2*y^3 + x^3*y^7 + x^4,y^10 + x + x^4*y^6
Z5xZ12,120,8,8,4.267,0.29,ok,y^8 + x*y^8 + x^3*y^9,x*y^2 + x^3*y^7 + x^4*y^4
Z5xZ12,120,8,8,4.267,0.29,ok,y + x^3*y^10 + x^4*y^11,y^5 + x^2*y + x^4*y^5
Z5xZ12,120,8,4,1.067,0.04,ok,y^6 + y^8 + y^10,y^8 + x + x^3*y^4
Z5xZ12,120,8,8,4.267,0.23,ok,y + x*y^8 + x^4*y^11,y^11 + x*y + x^2*y^11
Z5xZ12,120,8,8,4.267,0.23,ok,x*y^2 + x^2*y^2 + x^4*y^4,y^8 + x*y^5 + x^3*y
Z5xZ12,120,8,4,1.067,0.02,ok,x*y^3 + x*y^11 + x^4*y,x*y^7 + x*y^9 + x^4*y^11
Z5xZ12,120,8,8,4.267,0.2,ok,y^8 + x*y^2 + x^3,y + x^2*y^6 + x^3*y^3
Z5xZ12,120,8,8,4.267,0.21,ok,1 + x*y^3 + x^3*y,x*y^9 + x^2*y^6 + x^4*y^7
Z5xZ12,120,8,8,4.267,0.19,ok,x^2*y + x^3*y^3 + x^4*y,x^2 + x^3*y^5 + x^4
Z5xZ12,120,8,8,4.267,0.18,ok,y^3 + x^2*y^4 + x^3*y^7,x*y^5 + x^2*y^8 + x^4*y^7
Z5xZ12,120,8,6,2.4,0.03,ok,y^3 + x^2*y^7 + x^3*y^11,x*y^11 + x^3*y + x^4*y^9
Z5xZ12,120,8,8,4.267,0.24,ok,x + x^3*y^4 + x^4*y^7,x*y^9 + x^3*y^4 + x^4*y^10
Z5xZ12,120,8,8,4.267,0.31,ok,y^4 + x^3*y^4 + x^4*y^3,y^5 + y^9 + y^10
Z5xZ12,120,8,6,2.4,0.03,ok,y^6 + x^2*y^4 + x^4*y^8,y^7 + x^3*y^11 + x^4*y^9
Z5xZ12,120,8,8,4.267,0.3,ok,y^11 + x^3*y^11 + x^4,y^10 + x*y^9 + x^4*y^6
Z5xZ12,120,8,2,0.267,0.01,ok,x^4*y + x^4*y^5 + x^4*y^9,y^2 + x^2 + x^4*y^5
Z5xZ12,120,8,8,4.267,0.27,ok,1 + x*y^9 + x^3*y^2,y^8 + x^2*y^10 + x^4*y^8
Z5xZ12,120,8,6,2.4,0.09,ok,y^6 + y^10 + x*y^8,y^8 + x*y^4 + x^2*y^6
Z5xZ12,120,8,8,4.267,0.2,ok,1 + x^3*y^3 + x^4*y^7,x*y^4 + x^2*y^8 + x^3*y^4
Z5xZ12,120,20,2,0.667,0.01,ok,x^2*y + x^2*y^6 + x^2*y^11,y^2 + y^7 + y^9
Z5xZ12,120,8,4,1.067,0.03,ok,y^4 + x*y^2 + x^4*y^6,x*y^11 + x^2*y + x^3*y^3
Z5xZ12,120,8,8,4.267,0.26,ok,x^3*y^4 + x^3*y^5 + x^3*y^9,x*y^2 + x^3 + x^4
Z5xZ12,120,8,8,4.267,0.27,ok,y^7 + x*y^2 + x^2*y,x*y^5 + x^3*y^3 + x^4
Z5xZ12,120,8,8,4.267,0.28,ok,1 + x^2*y^7 + x^3*y^7,x^2*y^2 + x^3 + x^4*y^11
Z5xZ12,120,8,8,4.267,0.22,ok,x^3*y^4 + x^3*y^9 + x^3*y^11,y^9 + x^2*y^2 + x^3*y^11
Z5xZ12,120,8,8,4.267,0.2,ok,x*y^5 + x^3*y^4 + x^4*y^7,y^3 + x*y^8 + x^2*y^9
Z5xZ12,120,8,10,6.667,0.48,ok,x*y^9 + x^2*y^8 + x^3*y^3,y^11 + x^2*y^3 + x^4*y^8
Z5xZ12,120,8,8,4.267,0.23,ok,x*y^2 + x^2*y + x^3*y^8,1 + x*y^10 + x^4*y
Z5xZ12,120,8,8,4.267,0.27,ok,x*y + x^3*y^2 + x^4*y^5,x + x^3*y + x^4*y
Z5xZ12,120,8,8,4.267,0.43,ok,x^2*y^6 + x^3*y^5 + x^4*y^9,y^5 + x*y^4 + x^2*y^5
Z5xZ12,120,16,4,2.133,0.02,ok,x^2*y + x^4*y^5 + x^4*y^9,x^2*y + x^2*y^5 + x^4*y^9
Z5xZ12,120,8,8,4.267,0.2,ok,x^2*y + x^3*y^8 + x^4*y,x*y^11 + x^2*y^5 + x^4*y
